"","CHSI_County_Name","CHSI_State_Name","Brst_Cancer","Col_Cancer","Lung_Cancer"
"1514","Dent","Missouri",26.5,29.5,64.3
"1515","Douglas","Missouri",27.1,27.5,57.8
"1516","Dunklin","Missouri",37.8,22,68.9
"1517","Franklin","Missouri",27.8,21.7,64.6
"1518","Gasconade","Missouri",31,17.8,56.9
"1519","Gentry","Missouri",19.8,27,41
"1520","Greene","Missouri",28,18.5,64.6
"1521","Grundy","Missouri",22.1,20.1,65.8
"1522","Harrison","Missouri",22.8,22.9,57.1
"1523","Henry","Missouri",31.5,25.8,66.8
"1524","Hickory","Missouri",28.2,23,81.8
"1525","Holt","Missouri",-1111.1,17,41.2
"1526","Howard","Missouri",28.1,26.7,56.7
"1527","Howell","Missouri",23.9,20.1,63.7
"1528","Iron","Missouri",18.4,29.5,85.8
"1529","Jackson","Missouri",27.8,17.7,60.3
"1530","Jasper","Missouri",26.5,20.6,66.3
"1531","Jefferson","Missouri",29.6,21.7,76.8
"1532","Johnson","Missouri",23.1,17.7,49.8
"1533","Knox","Missouri",40.7,25.2,66.7
"1534","Laclede","Missouri",37.9,18.3,65.3
"1535","Lafayette","Missouri",30.3,24.7,63.4
"1536","Lawrence","Missouri",26,20.4,57.3
"1537","Lewis","Missouri",35.1,27.4,62
"1538","Lincoln","Missouri",28.5,20.8,63.5
"1539","Linn","Missouri",32.9,29,55.5
"1540","Livingston","Missouri",34.8,15.2,56.2
"1541","McDonald","Missouri",23.3,23.5,77.3
"1542","Macon","Missouri",28.3,26.2,54.2
"1543","Madison","Missouri",28.6,25.3,88.3
"1544","Maries","Missouri",38.7,21.1,59.9
"1545","Marion","Missouri",31,27.9,64.6
"1546","Mercer","Missouri",-1111.1,22.8,44
"1547","Miller","Missouri",19.9,24.5,63.2
"1548","Mississippi","Missouri",36.4,22.3,78.9
"1549","Moniteau","Missouri",19.7,18.8,50.9
"1550","Monroe","Missouri",21,28.6,63
"1551","Montgomery","Missouri",19.1,19.8,61.1
"1552","Morgan","Missouri",27.6,21.6,71.7
"1553","New Madrid","Missouri",25.9,20.3,76.8
"1554","Newton","Missouri",31.4,21.4,62.4
"1555","Nodaway","Missouri",25.6,16.6,52.6
"1556","Oregon","Missouri",32.5,19.7,61.5
"1557","Osage","Missouri",18.7,22.9,37
"1558","Ozark","Missouri",28.2,30.4,76.1
"1559","Pemiscot","Missouri",22.5,22.6,86.7
"1560","Perry","Missouri",17.8,31.5,48.8
"1561","Pettis","Missouri",23.3,21,76.8
"1562","Phelps","Missouri",22.9,16.4,64.2
"1563","Pike","Missouri",29.1,26.5,53.9
"1564","Platte","Missouri",24.2,18.6,56.7
"1565","Polk","Missouri",24,22,60.8
"1566","Pulaski","Missouri",32.6,21.4,79.1
"1567","Putnam","Missouri",-1111.1,30,53.5
"1568","Ralls","Missouri",32.5,22.6,65.6
"1569","Randolph","Missouri",26,20,51
"1570","Ray","Missouri",27.1,22.1,70.9
"1571","Reynolds","Missouri",-1111.1,19.3,66.3
"1572","Ripley","Missouri",20.9,23.8,69.4
"1573","St. Charles","Missouri",26.8,19.8,60.6
"1574","St. Clair","Missouri",21.6,19.6,75.4
"1575","Ste. Genevieve","Missouri",29.8,14.7,44.7
"1576","St. Francois","Missouri",27.4,27.2,80.5
"1577","St. Louis","Missouri",28.2,21.3,55
"1578","Saline","Missouri",28.8,24.6,52.4
"1579","Schuyler","Missouri",-1111.1,32.4,51.2
"1580","Scotland","Missouri",-1111.1,28.3,57.1
"1581","Scott","Missouri",32.7,23.2,80
"1582","Shannon","Missouri",30.6,18.9,81.9
"1583","Shelby","Missouri",23.8,25.8,48.9
"1584","Stoddard","Missouri",24.1,27.2,68.7
"1585","Stone","Missouri",23.7,21.3,62.2
"1586","Sullivan","Missouri",-1111.1,16.6,57.1
"1587","Taney","Missouri",25.3,17,67.4
"1588","Texas","Missouri",25.2,20.4,59.2
"1589","Vernon","Missouri",18.5,21.9,59.3
"1590","Warren","Missouri",30.9,21.3,60.8
"1591","Washington","Missouri",17.6,24.6,83.2
"1592","Wayne","Missouri",21.6,22.3,83.3
"1593","Webster","Missouri",20.2,21.2,57.9
"1594","Worth","Missouri",-1111.1,28.9,47.3
"1595","Wright","Missouri",19.4,21.2,71.3
"1596","St. Louis City","Missouri",28.2,24.8,71.9
"1597","Beaverhead","Montana",25.8,14,59.6
"1598","Big Horn","Montana",25.9,18.7,64.4
"1599","Blaine","Montana",28.3,-1111.1,50
"1600","Broadwater","Montana",-1111.1,21.1,70
"1601","Carbon","Montana",-1111.1,15.3,45.9
"1602","Carter","Montana",-1111.1,-1111.1,-1111.1
"1603","Cascade","Montana",24.3,15,63.4
"1604","Chouteau","Montana",-1111.1,16.8,30
"1605","Custer","Montana",27.3,26.3,69.3
"1606","Daniels","Montana",-1111.1,25.8,43.7
"1607","Dawson","Montana",19.9,22.3,46
"1608","Deer Lodge","Montana",23.9,20.8,55.2
"1609","Fallon","Montana",47.8,-1111.1,39.3
"1610","Fergus","Montana",25.5,24,49.9
"1611","Flathead","Montana",27,16.7,52.1
"1612","Gallatin","Montana",25,16.7,33.2
"1613","Garfield","Montana",-1111.1,-1111.1,-1111.1
"1614","Glacier","Montana",33,22.4,63.7
"1615","Golden Valley","Montana",-1111.1,-1111.1,86.6
"1616","Granite","Montana",-1111.1,-1111.1,69.9
"1617","Hill","Montana",27.3,16,57.8
"1618","Jefferson","Montana",32.7,15.7,57.4
"1619","Judith Basin","Montana",-1111.1,-1111.1,51.7
"1620","Lake","Montana",21.6,15.7,57.8
"1621","Lewis and Clark","Montana",32.3,18.6,59.3
"1622","Liberty","Montana",-1111.1,-1111.1,-1111.1
"1623","Lincoln","Montana",22.6,19.5,62.7
"1624","McCone","Montana",-1111.1,-1111.1,-1111.1
"1625","Madison","Montana",35,13.5,32.7
"1626","Meagher","Montana",-1111.1,-1111.1,64.9
"1627","Mineral","Montana",-1111.1,-1111.1,63.7
"1628","Missoula","Montana",21,15.1,53.4
"1629","Musselshell","Montana",36.4,-1111.1,66.1
"1630","Park","Montana",23.2,23.3,53.2
"1631","Petroleum","Montana",-1111.1,-1111.1,-1111.1
"1632","Phillips","Montana",-1111.1,19.2,53.3
"1633","Pondera","Montana",27.9,25.6,49.1
"1634","Powder River","Montana",-1111.1,-1111.1,38
"1635","Powell","Montana",27.1,15.3,50.7
"1636","Prairie","Montana",-1111.1,-1111.1,-1111.1
"1637","Ravalli","Montana",13.1,18.3,48.1
"1638","Richland","Montana",25.7,22,58
"1639","Roosevelt","Montana",20.8,29,59.7
"1640","Rosebud","Montana",25.2,20.9,68.9
"1641","Sanders","Montana",24.2,17.3,57.3
"1642","Sheridan","Montana",27.6,19.6,58.9
"1643","Silver Bow","Montana",32,28.7,66.2
"1644","Stillwater","Montana",-1111.1,17.6,43.5
"1645","Sweet Grass","Montana",-1111.1,23.2,41.2
"1646","Teton","Montana",-1111.1,23.5,52
"1647","Toole","Montana",-1111.1,26.5,49
"1648","Treasure","Montana",-1111.1,-1111.1,-1111.1
"1649","Valley","Montana",18,22,48.4
"1650","Wheatland","Montana",-1111.1,-1111.1,31.1
"1651","Wibaux","Montana",-1111.1,-1111.1,-1111.1
"1652","Yellowstone","Montana",21.8,18.3,58.4
"1653","Adams","Nebraska",18.8,22.8,48.5
"1654","Antelope","Nebraska",23.8,30.2,43.6
"1655","Arthur","Nebraska",-1111.1,-1111.1,-1111.1
"1656","Banner","Nebraska",-1111.1,-1111.1,-1111.1
"1657","Blaine","Nebraska",-1111.1,-1111.1,-1111.1
"1658","Boone","Nebraska",22.9,17.7,31.5
"1659","Box Butte","Nebraska",23.7,23.7,49.5
"1660","Boyd","Nebraska",-1111.1,-1111.1,31
"1661","Brown","Nebraska",-1111.1,15.6,36.4
"1662","Buffalo","Nebraska",27,18,43
"1663","Burt","Nebraska",28,23.9,59.1
"1664","Butler","Nebraska",25.4,22.7,38.1
"1665","Cass","Nebraska",20.1,21.2,55.1
"1666","Cedar","Nebraska",-1111.1,22.8,30
"1667","Chase","Nebraska",-1111.1,25.1,46.7
"1668","Cherry","Nebraska",23.7,28.7,37.9
"1669","Cheyenne","Nebraska",26.6,20.9,42
"1670","Clay","Nebraska",23.3,25.2,52.1
"1671","Colfax","Nebraska",16.3,17.3,31.7
"1672","Cuming","Nebraska",31,23.4,32.6
"1673","Custer","Nebraska",22.9,17.7,41.8
"1674","Dakota","Nebraska",30,23.8,61.8
"1675","Dawes","Nebraska",32.2,20.4,51.6
"1676","Dawson","Nebraska",30,19,45.7
"1677","Deuel","Nebraska",-1111.1,30.6,67.7
"1678","Dixon","Nebraska",-1111.1,11.7,36.7
"1679","Dodge","Nebraska",27.4,27,56
"1680","Douglas","Nebraska",27,22,62.6
"1681","Dundy","Nebraska",-1111.1,-1111.1,32.6
"1682","Fillmore","Nebraska",22.8,14.8,50.2
"1683","Franklin","Nebraska",-1111.1,39.4,64.8
"1684","Frontier","Nebraska",-1111.1,-1111.1,28.6
"1685","Furnas","Nebraska",-1111.1,22.9,39.9
"1686","Gage","Nebraska",22.1,20.4,43
"1687","Garden","Nebraska",-1111.1,-1111.1,61.7
"1688","Garfield","Nebraska",-1111.1,30.4,-1111.1
"1689","Gosper","Nebraska",-1111.1,-1111.1,-1111.1
"1690","Grant","Nebraska",-1111.1,-1111.1,-1111.1
"1691","Greeley","Nebraska",-1111.1,-1111.1,34.1
"1692","Hall","Nebraska",20,20.4,45.7
"1693","Hamilton","Nebraska",31.3,24.2,45.2
"1694","Harlan","Nebraska",-1111.1,30.6,53.3
"1695","Hayes","Nebraska",-1111.1,-1111.1,-1111.1
"1696","Hitchcock","Nebraska",-1111.1,-1111.1,50
"1697","Holt","Nebraska",33.2,19,35.4
"1698","Hooker","Nebraska",-1111.1,-1111.1,-1111.1
"1699","Howard","Nebraska",42.9,15.3,50.7
"1700","Jefferson","Nebraska",23.9,23,34
"1701","Johnson","Nebraska",38,23.2,44
"1702","Kearney","Nebraska",31.7,17.9,48.9
"1703","Keith","Nebraska",24.5,19.2,49.5
"1704","Keya Paha","Nebraska",-1111.1,-1111.1,-1111.1
"1705","Kimball","Nebraska",-1111.1,19.3,54.9
"1706","Knox","Nebraska",14.2,22.2,32.3
"1707","Lancaster","Nebraska",24.5,19.1,49.2
"1708","Lincoln","Nebraska",33,14.5,59.5
"1709","Logan","Nebraska",-1111.1,-1111.1,-1111.1
"1710","Loup","Nebraska",-1111.1,-1111.1,-1111.1
"1711","McPherson","Nebraska",-1111.1,-1111.1,-1111.1
"1712","Madison","Nebraska",26.5,18.9,47.3
"1713","Merrick","Nebraska",18.7,21.9,56.6
"1714","Morrill","Nebraska",-1111.1,17.2,50
"1715","Nance","Nebraska",28.3,26.1,47.9
"1716","Nemaha","Nebraska",17.5,28.1,57.1
"1717","Nuckolls","Nebraska",29.7,20.1,60.2
"1718","Otoe","Nebraska",24.8,28,44.2
"1719","Pawnee","Nebraska",-1111.1,22.9,34.8
"1720","Perkins","Nebraska",-1111.1,19.9,51
"1721","Phelps","Nebraska",19.6,20.1,34.3
"1722","Pierce","Nebraska",24,24.4,35.9
"1723","Platte","Nebraska",26.3,29.7,43.8
"1724","Polk","Nebraska",-1111.1,24.5,30.1
"1725","Red Willow","Nebraska",31.6,21.7,50.2
"1726","Richardson","Nebraska",17.3,30.7,53.1
"1727","Rock","Nebraska",-1111.1,-1111.1,54.2
"1728","Saline","Nebraska",31.5,22.2,46.2
"1729","Sarpy","Nebraska",23,23.8,52.6
"1730","Saunders","Nebraska",23.5,17.7,48.8
"1731","Scotts Bluff","Nebraska",19.7,19.9,46.4
"1732","Seward","Nebraska",13.3,21.5,45.6
"1733","Sheridan","Nebraska",21,23.6,38.2
"1734","Sherman","Nebraska",35.1,-1111.1,24.4
"1735","Sioux","Nebraska",-1111.1,-1111.1,-1111.1
"1736","Stanton","Nebraska",-1111.1,21.8,46.2
"1737","Thayer","Nebraska",26,23.4,30.1
"1738","Thomas","Nebraska",-1111.1,-1111.1,-1111.1
"1739","Thurston","Nebraska",-1111.1,19.2,54.3
"1740","Valley","Nebraska",26.1,17.4,37.6
"1741","Washington","Nebraska",24.1,22.8,46.1
"1742","Wayne","Nebraska",20.7,15.1,33.4
"1743","Webster","Nebraska",-1111.1,21.6,38.1
"1744","Wheeler","Nebraska",-1111.1,-1111.1,-1111.1
"1745","York","Nebraska",19.8,20.1,42.2
"1746","Churchill","Nevada",25.2,20.8,56.4
"1747","Clark","Nevada",26.4,21.9,62.6
"1748","Douglas","Nevada",15.1,16.2,50.5
"1749","Elko","Nevada",18.3,25.7,54.9
"1750","Esmeralda","Nevada",-1111.1,-1111.1,-1111.1
"1751","Eureka","Nevada",-1111.1,-1111.1,-1111.1
"1752","Humboldt","Nevada",35,18.3,67.1
"1753","Lander","Nevada",-1111.1,-1111.1,62.9
"1754","Lincoln","Nevada",-1111.1,24,44.2
"1755","Lyon","Nevada",30.1,19.1,75
"1756","Mineral","Nevada",28.9,38.2,59.2
"1757","Nye","Nevada",24.8,17.6,67.4
"1758","Pershing","Nevada",-1111.1,-1111.1,46.7
"1759","Storey","Nevada",-1111.1,-1111.1,57.7
"1760","Washoe","Nevada",26.6,20.3,58.5
"1761","White Pine","Nevada",29.2,12.7,40.7
"1762","Carson City","Nevada",23.2,18.5,67.1
"1763","Belknap","New Hampshire",27.6,20.6,55.6
"1764","Carroll","New Hampshire",23.3,25.1,47.3
"1765","Cheshire","New Hampshire",16.5,20.9,58.3
"1766","Coos","New Hampshire",26.4,23.8,59.8
"1767","Grafton","New Hampshire",28,18.2,44
"1768","Hillsborough","New Hampshire",23.7,20.2,49.9
"1769","Merrimack","New Hampshire",26.5,20.4,50
"1770","Rockingham","New Hampshire",28,19.4,60.6
"1771","Strafford","New Hampshire",26.7,18,63.2
"1772","Sullivan","New Hampshire",23.4,18.2,59.7
"1773","Atlantic","New Jersey",31.5,24.5,65.1
"1774","Bergen","New Jersey",27.8,20.3,42.3
"1775","Burlington","New Jersey",26.4,22.9,56
"1776","Camden","New Jersey",30,24.2,63.2
"1777","Cape May","New Jersey",33.3,26.6,63.2
"1778","Cumberland","New Jersey",26.2,22.1,63.2
"1779","Essex","New Jersey",31.2,21.4,49.8
"1780","Gloucester","New Jersey",32.1,27.6,70.1
"1781","Hudson","New Jersey",27.6,21,46.4
"1782","Hunterdon","New Jersey",30,23.2,38.4
"1783","Mercer","New Jersey",29.1,20,47.1
"1784","Middlesex","New Jersey",28.2,20,46.1
"1785","Monmouth","New Jersey",31,24.3,58.1
"1786","Morris","New Jersey",29.2,20.2,49
"1787","Ocean","New Jersey",27.3,22.7,60.4
"1788","Passaic","New Jersey",28.8,20.7,44.7
"1789","Salem","New Jersey",29.7,27.3,70.2
"1790","Somerset","New Jersey",29.4,20.1,43.6
"1791","Sussex","New Jersey",30.9,27.6,56.6
"1792","Union","New Jersey",25.4,21.5,44.5
"1793","Warren","New Jersey",21.7,19,52.3
"1794","Bernalillo","New Mexico",22.3,16,35.6
"1795","Catron","New Mexico",-1111.1,-1111.1,33.5
"1796","Chaves","New Mexico",20,16.6,56.1
"1797","Cibola","New Mexico",15.8,16.1,37.9
"1798","Colfax","New Mexico",23,21.1,36.8
"1799","Curry","New Mexico",21.1,15.8,47.1
"1800","De Baca","New Mexico",-1111.1,-1111.1,40.1
"1801","Dona Ana","New Mexico",22.8,19,35.9
"1802","Eddy","New Mexico",24.7,22.2,56.7
"1803","Grant","New Mexico",18.6,20.9,32.5
"1804","Guadalupe","New Mexico",-1111.1,-1111.1,25.5
"1805","Harding","New Mexico",-1111.1,-1111.1,60.6
"1806","Hidalgo","New Mexico",-1111.1,-1111.1,34
"1807","Lea","New Mexico",21.4,18.4,62.7
"1808","Lincoln","New Mexico",27.3,14.9,33.9
"1809","Los Alamos","New Mexico",20.9,14.4,24
"1810","Luna","New Mexico",25.4,16.3,37.7
"1811","McKinley","New Mexico",22.5,19.1,21.1
"1812","Mora","New Mexico",-1111.1,-1111.1,18
"1813","Otero","New Mexico",27.9,19,43.5
"1814","Quay","New Mexico",28.7,17.3,55.4
"1815","Rio Arriba","New Mexico",16.3,19.9,31.8
"1816","Roosevelt","New Mexico",19.7,16.8,51.9
"1817","Sandoval","New Mexico",24.5,20.2,36.6
"1818","San Juan","New Mexico",21.3,17.8,43.6
"1819","San Miguel","New Mexico",13.8,19.2,26.5
"1820","Santa Fe","New Mexico",21.4,16.4,31.1
"1821","Sierra","New Mexico",16.9,16.4,65.1
"1822","Socorro","New Mexico",35.1,23.8,44.7
"1823","Taos","New Mexico",13.4,16.3,25.4
"1824","Torrance","New Mexico",16.9,20.4,44.8
"1825","Union","New Mexico",-1111.1,-1111.1,31
"1826","Valencia","New Mexico",22.3,18.1,44.5
"1827","Albany","New York",24.2,19,55.7
"1828","Allegany","New York",22.5,28.1,65.3
"1829","Bronx","New York",27.2,22.3,42.4
"1830","Broome","New York",26.2,18.1,49.5
"1831","Cattaraugus","New York",26.5,24.6,56.8
"1832","Cayuga","New York",18.2,20,57.9
"1833","Chautauqua","New York",32.9,18.7,57.6
"1834","Chemung","New York",25.7,20.7,66.3
"1835","Chenango","New York",26.1,23.3,47.7
"1836","Clinton","New York",20.1,22,57
"1837","Columbia","New York",27.4,20,51
"1838","Cortland","New York",19.5,29.6,52
"1839","Delaware","New York",21,26.8,50.6
"1840","Dutchess","New York",26.3,20.4,51.8
"1841","Erie","New York",29.4,19.5,60.1
"1842","Essex","New York",16.7,33.2,55.8
"1843","Franklin","New York",22.1,24.1,65.4
"1844","Fulton","New York",25.5,27.2,62.6
"1845","Genesee","New York",23.1,21.8,60.3
"1846","Greene","New York",30.3,27.8,63.1
"1847","Hamilton","New York",37.6,23.7,60.2
"1848","Herkimer","New York",25.8,20.8,57.5
"1849","Jefferson","New York",26.6,22.2,68.6
"1850","Kings","New York",26.7,20.6,36.3
"1851","Lewis","New York",24,31.7,44.7
"1852","Livingston","New York",32,20.8,69.4
"1853","Madison","New York",26.5,25.2,65.5
"1854","Monroe","New York",25.7,20.2,49
"1855","Montgomery","New York",22,20.4,50.1
"1856","Nassau","New York",27.6,19,45.1
"1857","New York","New York",26.7,19.3,41.7
"1858","Niagara","New York",27,22.2,65.3
"1859","Oneida","New York",27.9,17.3,56.7
"1860","Onondaga","New York",28.3,20.1,58.6
"1861","Ontario","New York",26.7,19.5,57.6
"1862","Orange","New York",24.4,24,52.3
"1863","Orleans","New York",28.6,23.8,69.6
"1864","Oswego","New York",25.4,21.3,66.3
"1865","Otsego","New York",24,18.6,56.3
"1866","Putnam","New York",26.3,22.1,64.1
"1867","Queens","New York",23.7,18,35.4
"1868","Rensselaer","New York",29.2,21.4,66.6
"1869","Richmond","New York",29.7,21.5,53.4
"1870","Rockland","New York",25.1,18.2,42.6
"1871","St. Lawrence","New York",24.4,27.1,60.5
"1872","Saratoga","New York",22.7,19.5,56
"1873","Schenectady","New York",24.7,18.1,52.6
"1874","Schoharie","New York",21.4,27.4,72.3
"1875","Schuyler","New York",27,23.9,62.7
"1876","Seneca","New York",25.8,21.9,63
"1877","Steuben","New York",28.4,21.7,62.3
"1878","Suffolk","New York",30.6,21.4,54
"1879","Sullivan","New York",26.1,23.3,62.7
"1880","Tioga","New York",20.8,25.8,53
"1881","Tompkins","New York",22.9,24.7,50.6
"1882","Ulster","New York",27.8,21.8,59.6
"1883","Warren","New York",32.9,21.1,56.1
"1884","Washington","New York",20,23.8,68.4
"1885","Wayne","New York",28.6,21.3,57.1
"1886","Westchester","New York",25.7,18.7,41.7
"1887","Wyoming","New York",24.9,27.5,58.7
"1888","Yates","New York",25.6,24.5,63
"1889","Alamance","North Carolina",25.4,15.7,58.3
"1890","Alexander","North Carolina",27.7,18.6,53.3
"1891","Alleghany","North Carolina",33.7,18.6,51.4
"1892","Anson","North Carolina",37.4,25.2,54.3
"1893","Ashe","North Carolina",18.3,18.4,57.5
"1894","Avery","North Carolina",16.9,18.2,60.7
"1895","Beaufort","North Carolina",24.8,27.6,69.8
"1896","Bertie","North Carolina",28.4,32.9,71.4
"1897","Bladen","North Carolina",37.2,19.4,65.3
"1898","Brunswick","North Carolina",22.1,16.6,66.9
"1899","Buncombe","North Carolina",22.6,18.5,59.7
"1900","Burke","North Carolina",24.9,20,62.9
"1901","Cabarrus","North Carolina",22.7,16.6,61.4
"1902","Caldwell","North Carolina",24.1,19.2,65
"1903","Camden","North Carolina",33.4,32.6,76.9
"1904","Carteret","North Carolina",30.8,17.7,69.7
"1905","Caswell","North Carolina",31.4,22.1,73.5
"1906","Catawba","North Carolina",24.4,18.3,61.8
"1907","Chatham","North Carolina",23.3,18.6,53.8
"1908","Cherokee","North Carolina",30.9,20.3,69.2
"1909","Chowan","North Carolina",22.8,23.6,65.4
"1910","Clay","North Carolina",24.9,20.9,55.4
"1911","Cleveland","North Carolina",26.9,20.7,65.5
"1912","Columbus","North Carolina",35.4,20,70.1
"1913","Craven","North Carolina",26.3,24.7,62.5
"1914","Cumberland","North Carolina",30,18,62.8
"1915","Currituck","North Carolina",22.8,24.6,78.5
"1916","Dare","North Carolina",28.7,16.4,73.2
"1917","Davidson","North Carolina",25.4,20,66.6
"1918","Davie","North Carolina",19.1,19.9,50.6
"1919","Duplin","North Carolina",34.7,21.2,55.6
"1920","Durham","North Carolina",25.6,21.3,61.8
"1921","Edgecombe","North Carolina",38.2,19.4,61
"1922","Forsyth","North Carolina",26.3,19.8,58.6
"1923","Franklin","North Carolina",22.3,19.2,67.6
"1924","Gaston","North Carolina",23.6,18.9,70.2
"1925","Gates","North Carolina",36.4,27.9,61.8
"1926","Graham","North Carolina",22.7,22.6,70.5
"1927","Granville","North Carolina",29.9,22.8,68.7
"1928","Greene","North Carolina",31.9,18.6,63.1
"1929","Guilford","North Carolina",27.5,19.5,56.5
"1930","Halifax","North Carolina",30,19.7,63.1
"1931","Harnett","North Carolina",22.5,20.6,66.7
"1932","Haywood","North Carolina",23.9,18.1,57
"1933","Henderson","North Carolina",21.6,20.1,51.2
"1934","Hertford","North Carolina",29.7,28.8,75.3
"1935","Hoke","North Carolina",30.2,20.8,77.3
"1936","Hyde","North Carolina",30.6,29.3,58
"1937","Iredell","North Carolina",19.8,22.7,57.6
"1938","Jackson","North Carolina",23.4,19.7,54
"1939","Johnston","North Carolina",23.5,18.8,63.2
"1940","Jones","North Carolina",27,27.8,65.1
"1941","Lee","North Carolina",25.4,21.5,58.5
"1942","Lenoir","North Carolina",33.3,21.8,60.7
"1943","Lincoln","North Carolina",23,22.1,60.7
"1944","McDowell","North Carolina",12.7,20.9,58.3
"1945","Macon","North Carolina",24.5,15.7,50
"1946","Madison","North Carolina",31.4,15.5,56.7
"1947","Martin","North Carolina",28.1,23.6,76.5
"1948","Mecklenburg","North Carolina",26.9,18.8,48.8
"1949","Mitchell","North Carolina",21.6,19.2,62.3
"1950","Montgomery","North Carolina",26.1,21.9,57.7
"1951","Moore","North Carolina",20.1,19.6,56.8
"1952","Nash","North Carolina",26.8,21.2,62.4
"1953","New Hanover","North Carolina",30.8,17.2,62.8
"1954","Northampton","North Carolina",31.5,24.7,63.2
"1955","Onslow","North Carolina",19.7,18.6,72.1
"1956","Orange","North Carolina",27.9,16.2,52.6
"1957","Pamlico","North Carolina",18.1,18.4,61.8
"1958","Pasquotank","North Carolina",32,18.6,58.3
"1959","Pender","North Carolina",24.5,15.4,63.3
"1960","Perquimans","North Carolina",27.7,21.9,66.6
"1961","Person","North Carolina",19.2,22.3,63.5
"1962","Pitt","North Carolina",28.7,22.3,57
"1963","Polk","North Carolina",23.4,20.9,47.5
"1964","Randolph","North Carolina",23,22,64.6
"1965","Richmond","North Carolina",28.6,27.4,68.6
"1966","Robeson","North Carolina",31.3,18.6,66.3
"1967","Rockingham","North Carolina",31.1,20.8,72.1
"1968","Rowan","North Carolina",25.6,15.3,61
"1969","Rutherford","North Carolina",24.7,24.5,58.9
"1970","Sampson","North Carolina",25.5,22.3,54.7
"1971","Scotland","North Carolina",33.7,23.5,62.2
"1972","Stanly","North Carolina",21.4,19.6,58.4
"1973","Stokes","North Carolina",24.4,18.1,83.2
"1974","Surry","North Carolina",31.1,15.8,57.8
"1975","Swain","North Carolina",30,16.9,54.5
"1976","Transylvania","North Carolina",21.9,16,48.9
"1977","Tyrrell","North Carolina",56.2,34.3,72.7
"1978","Union","North Carolina",27.6,16,58.1
"1979","Vance","North Carolina",27.9,30.8,73.6
"1980","Wake","North Carolina",21,15.3,51
"1981","Warren","North Carolina",34.9,22.1,54.3
"1982","Washington","North Carolina",26.8,24.1,69.1
"1983","Watauga","North Carolina",17.8,16.3,36.5
"1984","Wayne","North Carolina",25.1,22,62.6
"1985","Wilkes","North Carolina",20.3,22.9,63.5
"1986","Wilson","North Carolina",28.4,16.4,60.1
"1987","Yadkin","North Carolina",13,18.5,62.8
"1988","Yancey","North Carolina",24,18,49.3
"1989","Adams","North Dakota",-1111.1,35.4,49.1
"1990","Barnes","North Dakota",31.9,24.4,43.1
"1991","Benson","North Dakota",-1111.1,13.6,41.2
"1992","Billings","North Dakota",-1111.1,-1111.1,-1111.1
"1993","Bottineau","North Dakota",13.8,17.3,34.3
"1994","Bowman","North Dakota",58.5,17.2,51.2
"1995","Burke","North Dakota",-1111.1,26.1,49.3
"1996","Burleigh","North Dakota",34.5,19.8,38.4
"1997","Cass","North Dakota",28,20.3,50
"1998","Cavalier","North Dakota",33.5,31.4,38.4
"1999","Dickey","North Dakota",22.2,14.1,43.8
"2000","Divide","North Dakota",-1111.1,36.5,42.4
"2001","Dunn","North Dakota",-1111.1,32.8,33.1
"2002","Eddy","North Dakota",-1111.1,-1111.1,44.2
"2003","Emmons","North Dakota",39.8,13.5,46.1
"2004","Foster","North Dakota",49,20.3,47.5
"2005","Golden Valley","North Dakota",-1111.1,-1111.1,-1111.1
"2006","Grand Forks","North Dakota",20.6,20.8,58.1
"2007","Grant","North Dakota",39.7,-1111.1,34.6
"2008","Griggs","North Dakota",46.2,-1111.1,34.3
"2009","Hettinger","North Dakota",-1111.1,-1111.1,46.4
"2010","Kidder","North Dakota",-1111.1,32.4,37.6
"2011","LaMoure","North Dakota",-1111.1,15.4,38.8
"2012","Logan","North Dakota",-1111.1,-1111.1,29.3
"2013","McHenry","North Dakota",24.5,21.7,32
"2014","McIntosh","North Dakota",29,20.4,43
"2015","McKenzie","North Dakota",-1111.1,19.9,31.4
"2016","McLean","North Dakota",18.1,24,49.7
"2017","Mercer","North Dakota",31.1,23.5,46.3
"2018","Morton","North Dakota",23,20.7,52.7
"2019","Mountrail","North Dakota",34.4,29.1,42.2
"2020","Nelson","North Dakota",37.4,26.3,49.6
"2021","Oliver","North Dakota",-1111.1,-1111.1,-1111.1
"2022","Pembina","North Dakota",18.2,21.4,52.9
"2023","Pierce","North Dakota",-1111.1,22.8,51.6
"2024","Ramsey","North Dakota",19.2,22.4,42.2
"2025","Ransom","North Dakota",20.3,29.8,35.3
"2026","Renville","North Dakota",-1111.1,-1111.1,40.9
"2027","Richland","North Dakota",17.1,17.3,34.7
"2028","Rolette","North Dakota",32.3,29,85.7
"2029","Sargent","North Dakota",-1111.1,33.1,38.4
"2030","Sheridan","North Dakota",-1111.1,-1111.1,-1111.1
"2031","Sioux","North Dakota",-1111.1,-1111.1,-1111.1
"2032","Slope","North Dakota",-1111.1,-1111.1,-1111.1
"2033","Stark","North Dakota",24.4,15.7,37.6
"2034","Steele","North Dakota",-1111.1,-1111.1,39.8
"2035","Stutsman","North Dakota",24.7,17.6,47.7
"2036","Towner","North Dakota",36.2,25.5,37
"2037","Traill","North Dakota",23.3,19.9,35.1
"2038","Walsh","North Dakota",29.3,21.7,48.5
"2039","Ward","North Dakota",27.4,20.6,50.1
"2040","Wells","North Dakota",-1111.1,17.6,43.2
